question_text,company,difficulty,question_type,topics,source,answer_text,created_at
"More Data: Generally reduces variance, but can also help a high-bias model better capture underlying patterns.",,medium,stats,,Devinterview-io/data-scientist-interview-questions,,2025-11-17T10:49:35.639618
Feature Selection/Engineering: Aims to reduce overfitting by focusing on the most relevant features.,,medium,coding,feature_engineering,Devinterview-io/data-scientist-interview-questions,,2025-11-17T10:49:35.639658
Simpler Models: Helps alleviate overfitting; reduces variance but might increase bias.,,medium,stats,,Devinterview-io/data-scientist-interview-questions,,2025-11-17T10:49:35.639684
"Regularization: A technique that adds a penalty term for model complexity, which can help decrease overfitting.",,medium,ml,,Devinterview-io/data-scientist-interview-questions,,2025-11-17T10:49:35.639712
"Ensemble Methods: Combine multiple models to reduce variance and, in some cases, improve bias.",,medium,stats,ensemble,Devinterview-io/data-scientist-interview-questions,,2025-11-17T10:49:35.639737
"Cross-Validation: Helps estimate the performance of a model on an independent dataset, providing insights into both bias and variance. <br> ## 6. Explain the concept of _Cross-Validation_ and its importance in ML. Cross-Validation (CV) is a robust technique for assessing the performance of a machine learning model, especially when it involves hyperparameter tuning or comparing multiple models. It addresses issues such as overfitting and ensures a more reliable performance estimate on unseen data. ### Kinds of Cross-Validation",,medium,stats,,Devinterview-io/data-scientist-interview-questions,,2025-11-17T10:49:35.639810
Holdout Method: Data is simply split into training and test sets.,,medium,ml,,Devinterview-io/data-scientist-interview-questions,,2025-11-17T10:49:35.639831
"K-Fold CV: Data is divided into K folds; each fold is used as a test set, and the rest are used for training.",,medium,ml,,Devinterview-io/data-scientist-interview-questions,,2025-11-17T10:49:35.639857
"Stratified K-Fold CV: Like K-Fold, but preserves the class distribution in each fold, useful for balanced datasets.",,medium,stats,probability,Devinterview-io/data-scientist-interview-questions,,2025-11-17T10:49:35.639882
Leave-One-Out (LOO) CV: A special case of K-Fold where K equals the number of instances; each observation is used as a test set once.,,medium,mixed,,Devinterview-io/data-scientist-interview-questions,,2025-11-17T10:49:35.639919
